zip,modzcta,dbn,feeder_school,n_hs_applicants,n_testers,n_offers,year,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020
10009,10009,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,120,70,7,2018,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M034,P.S. 034 FRANKLIN D. ROOSEVELT (01M034),47,5,5,2019,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M450,EAST SIDE COMMUNITY SCHOOL (01M450),106,25,5,2019,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M839,TOMPKINS SQUARE MIDDLE SCHOOL (01M839),123,58,7,2019,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M034,P.S. 034 FRANKLIN D. ROOSEVELT (01M034),44,5,5,2020,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M450,EAST SIDE COMMUNITY SCHOOL (01M450),104,16,5,2020,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M839,TOMPKINS SQUARE MIDDLE SCHOOL (01M839),113,33,8,2020,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10010,10010,02M104,J.H.S. 104 SIMON BARUCH,195,195,50,2015,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,5,5,5,2015,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,49,49,14,2015,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M104,J.H.S. 104 SIMON BARUCH,408,251,83,2016,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,7,5,5,2016,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,89,30,6,2016,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M104,J.H.S. 104 SIMON BARUCH,386,260,53,2017,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,9,5,5,2017,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,103,46,15,2017,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M104,J.H.S. 104 SIMON BARUCH,388,217,60,2018,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,22,5,5,2018,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,108,46,10,2018,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M104,J.H.S. 104 SIMON BARUCH (02M104),384,226,48,2019,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
