zip,modzcta,dbn,n_hs_applicants,n_testers,n_offers,year,borough,positive,total,modzcta_cum_perc_pos
10029,10029,04M108,91,9,5,2017,MANHATTAN,1812,7494,24.2
10029,10029,04M171,92,43,5,2017,MANHATTAN,1812,7494,24.2
10029,10029,04M224,55,14,5,2017,MANHATTAN,1812,7494,24.2
10029,10029,04M372,71,5,5,2017,MANHATTAN,1812,7494,24.2
10029,10029,04M610,50,8,5,2017,MANHATTAN,1812,7494,24.2
10029,10029,04M825,55,20,5,2017,MANHATTAN,1812,7494,24.2
10029,10029,04M964,30,6,5,2017,MANHATTAN,1812,7494,24.2
10029,10029,04M012,77,71,32,2019,MANHATTAN,1812,7494,24.2
10029,10029,04M057,86,28,5,2019,MANHATTAN,1812,7494,24.2
10029,10029,04M072,58,9,5,2019,MANHATTAN,1812,7494,24.2
10029,10029,04M108,64,5,5,2019,MANHATTAN,1812,7494,24.2
10029,10029,04M171,90,38,5,2019,MANHATTAN,1812,7494,24.2
10029,10029,04M224,65,14,5,2019,MANHATTAN,1812,7494,24.2
10029,10029,04M372,78,6,5,2019,MANHATTAN,1812,7494,24.2
10029,10029,04M610,56,5,5,2019,MANHATTAN,1812,7494,24.2
10029,10029,04M825,75,10,5,2019,MANHATTAN,1812,7494,24.2
10029,10029,04M964,53,8,5,2019,MANHATTAN,1812,7494,24.2
10029,10029,04M012,57,53,26,2020,MANHATTAN,1812,7494,24.2
10029,10029,04M057,82,5,5,2020,MANHATTAN,1812,7494,24.2
10029,10029,04M072,66,7,5,2020,MANHATTAN,1812,7494,24.2
10029,10029,04M108,62,10,5,2020,MANHATTAN,1812,7494,24.2
10029,10029,04M171,82,29,5,2020,MANHATTAN,1812,7494,24.2
10029,10029,04M224,61,20,5,2020,MANHATTAN,1812,7494,24.2
10029,10029,04M372,71,5,5,2020,MANHATTAN,1812,7494,24.2
10029,10029,04M610,49,5,5,2020,MANHATTAN,1812,7494,24.2
10029,10029,04M825,97,21,5,2020,MANHATTAN,1812,7494,24.2
10029,10029,04M964,54,5,5,2020,MANHATTAN,1812,7494,24.2
10030,10030,05M123,5,5,5,2015,MANHATTAN,500,2257,22.2
10030,10030,05M148,5,5,5,2015,MANHATTAN,500,2257,22.2
10030,10030,05M670,10,10,5,2015,MANHATTAN,500,2257,22.2
10030,10030,05M123,57,5,5,2016,MANHATTAN,500,2257,22.2
10030,10030,05M148,57,6,5,2016,MANHATTAN,500,2257,22.2
10030,10030,05M670,56,13,5,2016,MANHATTAN,500,2257,22.2
10030,10030,05M123,54,5,5,2017,MANHATTAN,500,2257,22.2
10030,10030,05M148,57,10,5,2017,MANHATTAN,500,2257,22.2
10030,10030,05M670,58,10,5,2017,MANHATTAN,500,2257,22.2
10030,10030,05M123,65,6,5,2019,MANHATTAN,500,2257,22.2
10030,10030,05M148,34,5,5,2019,MANHATTAN,500,2257,22.2
10030,10030,05M670,56,5,5,2019,MANHATTAN,500,2257,22.2
10030,10030,05M123,46,11,5,2020,MANHATTAN,500,2257,22.2
10030,10030,05M148,34,6,5,2020,MANHATTAN,500,2257,22.2
10030,10030,05M670,56,7,5,2020,MANHATTAN,500,2257,22.2
10031,10031,06M209,5,5,5,2015,MANHATTAN,1312,5630,23.3
10031,10031,06M210,8,8,5,2015,MANHATTAN,1312,5630,23.3
10031,10031,06M209,74,13,5,2016,MANHATTAN,1312,5630,23.3
10031,10031,06M210,53,12,5,2016,MANHATTAN,1312,5630,23.3
10031,10031,06M209,84,18,5,2017,MANHATTAN,1312,5630,23.3
10031,10031,06M210,47,8,5,2017,MANHATTAN,1312,5630,23.3
10031,10031,06M209,87,18,5,2019,MANHATTAN,1312,5630,23.3
10031,10031,06M210,48,5,5,2019,MANHATTAN,1312,5630,23.3
10031,10031,06M209,112,25,5,2020,MANHATTAN,1312,5630,23.3
10031,10031,06M210,59,10,5,2020,MANHATTAN,1312,5630,23.3
10032,10032,06M319,18,18,5,2015,MANHATTAN,1511,6281,24.1
10032,10032,06M324,26,26,5,2015,MANHATTAN,1511,6281,24.1
10032,10032,06M328,7,7,5,2015,MANHATTAN,1511,6281,24.1
10032,10032,06M346,5,5,5,2015,MANHATTAN,1511,6281,24.1
10032,10032,06M319,194,23,5,2016,MANHATTAN,1511,6281,24.1
10032,10032,06M324,162,20,5,2016,MANHATTAN,1511,6281,24.1
10032,10032,06M328,101,5,5,2016,MANHATTAN,1511,6281,24.1
10032,10032,06M346,92,5,5,2016,MANHATTAN,1511,6281,24.1
10032,10032,06M319,147,27,5,2017,MANHATTAN,1511,6281,24.1
10032,10032,06M324,149,20,5,2017,MANHATTAN,1511,6281,24.1
10032,10032,06M328,94,9,5,2017,MANHATTAN,1511,6281,24.1
10032,10032,06M346,94,16,5,2017,MANHATTAN,1511,6281,24.1
10032,10032,06M319,147,7,5,2019,MANHATTAN,1511,6281,24.1
10032,10032,06M324,143,20,5,2019,MANHATTAN,1511,6281,24.1
10032,10032,06M328,71,8,5,2019,MANHATTAN,1511,6281,24.1
10032,10032,06M346,93,5,5,2019,MANHATTAN,1511,6281,24.1
10032,10032,06M319,108,5,5,2020,MANHATTAN,1511,6281,24.1
10032,10032,06M324,89,15,5,2020,MANHATTAN,1511,6281,24.1
10032,10032,06M328,56,6,5,2020,MANHATTAN,1511,6281,24.1
10032,10032,06M346,94,5,5,2020,MANHATTAN,1511,6281,24.1
10033,10033,06M143,8,8,5,2015,MANHATTAN,1344,5648,23.8
10033,10033,06M348,5,5,5,2015,MANHATTAN,1344,5648,23.8
10033,10033,06M349,5,5,5,2015,MANHATTAN,1344,5648,23.8
10033,10033,06M528,7,7,5,2015,MANHATTAN,1344,5648,23.8
10033,10033,06M143,128,5,5,2016,MANHATTAN,1344,5648,23.8
10033,10033,06M348,84,10,5,2016,MANHATTAN,1344,5648,23.8
10033,10033,06M349,67,5,5,2016,MANHATTAN,1344,5648,23.8
10033,10033,06M528,61,5,5,2016,MANHATTAN,1344,5648,23.8
10033,10033,06M143,109,17,5,2017,MANHATTAN,1344,5648,23.8
10033,10033,06M348,87,6,5,2017,MANHATTAN,1344,5648,23.8
10033,10033,06M349,63,5,5,2017,MANHATTAN,1344,5648,23.8
10033,10033,06M528,75,5,5,2017,MANHATTAN,1344,5648,23.8
10033,10033,06M143,77,14,5,2019,MANHATTAN,1344,5648,23.8
10033,10033,06M348,80,5,5,2019,MANHATTAN,1344,5648,23.8
10033,10033,06M349,53,5,5,2019,MANHATTAN,1344,5648,23.8
10033,10033,06M528,86,5,5,2019,MANHATTAN,1344,5648,23.8
10033,10033,06M143,90,14,5,2020,MANHATTAN,1344,5648,23.8
10033,10033,06M348,85,6,5,2020,MANHATTAN,1344,5648,23.8
10033,10033,06M349,44,5,5,2020,MANHATTAN,1344,5648,23.8
10033,10033,06M528,80,7,5,2020,MANHATTAN,1344,5648,23.8
10034,10034,06M018,7,7,5,2015,MANHATTAN,707,3388,20.9
10034,10034,06M052,14,14,5,2015,MANHATTAN,707,3388,20.9
10034,10034,06M278,21,21,5,2015,MANHATTAN,707,3388,20.9
10034,10034,06M311,18,18,5,2015,MANHATTAN,707,3388,20.9
10034,10034,06M366,5,5,5,2015,MANHATTAN,707,3388,20.9
10034,10034,06M018,43,5,5,2016,MANHATTAN,707,3388,20.9
10034,10034,06M052,147,10,5,2016,MANHATTAN,707,3388,20.9
10034,10034,06M278,68,28,5,2016,MANHATTAN,707,3388,20.9
10034,10034,06M311,52,20,5,2016,MANHATTAN,707,3388,20.9
10034,10034,06M366,50,12,5,2016,MANHATTAN,707,3388,20.9
