date,zcta,deathrate
7/2020,11364,NA
7/2020,11365,0
7/2020,11366,0
7/2020,11367,0
7/2020,11368,NA
7/2020,11369,NA
7/2020,11370,0
7/2020,11372,NA
7/2020,11373,NA
7/2020,11374,NA
7/2020,11375,NA
7/2020,11377,NA
7/2020,11378,NA
7/2020,11379,NA
7/2020,11385,NA
7/2020,11411,0
7/2020,11412,0
7/2020,11413,0
7/2020,11414,NA
7/2020,11415,NA
7/2020,11416,NA
7/2020,11417,0
7/2020,11418,0
7/2020,11419,NA
7/2020,11420,0
7/2020,11421,NA
7/2020,11422,0
7/2020,11423,NA
7/2020,11426,NA
7/2020,11427,NA
7/2020,11428,NA
7/2020,11429,NA
7/2020,11432,NA
7/2020,11433,0
7/2020,11434,7.5
7/2020,11435,NA
7/2020,11436,NA
7/2020,11691,9
7/2020,11692,NA
7/2020,11693,NA
7/2020,11694,NA
7/2020,11697,0
8/2020,10001,0
8/2020,10002,NA
8/2020,10003,NA
8/2020,10004,NA
8/2020,10005,NA
8/2020,10006,0
8/2020,10007,NA
8/2020,10009,NA
8/2020,10010,0
8/2020,10011,NA
8/2020,10012,0
8/2020,10013,0
8/2020,10014,0
8/2020,10016,NA
8/2020,10017,NA
8/2020,10018,NA
8/2020,10019,0
8/2020,10021,NA
8/2020,10022,0
8/2020,10023,0
8/2020,10024,0
8/2020,10025,NA
8/2020,10026,NA
8/2020,10027,NA
8/2020,10028,NA
8/2020,10029,NA
8/2020,10030,NA
8/2020,10031,0
8/2020,10032,0
8/2020,10033,NA
8/2020,10034,NA
8/2020,10035,NA
8/2020,10036,0
8/2020,10037,NA
8/2020,10038,0
8/2020,10039,NA
8/2020,10040,NA
8/2020,10044,0
8/2020,10065,NA
8/2020,10069,NA
8/2020,10075,NA
8/2020,10128,NA
8/2020,10280,NA
8/2020,10282,NA
8/2020,10301,NA
8/2020,10302,0
8/2020,10303,0
8/2020,10304,NA
8/2020,10305,0
8/2020,10306,NA
8/2020,10307,NA
8/2020,10308,0
8/2020,10309,NA
8/2020,10310,NA
8/2020,10312,0
8/2020,10314,0
8/2020,10451,NA
8/2020,10452,6.6
8/2020,10453,0
8/2020,10454,0
